"","Q6.2","Q6.3","Q6.4","Q6.5","Q6.6","Q6.7","Q6.10","Q2.1","Q2.2","Q2.3","Q2.4","Q2.5","AgeNum","Q6.8_10_aggregated","Q6.9_agg"
"236",1980,"No","No","No","White or Caucasian","Yes","No","Senior Faculty","University","United Kingdom","German","10",43,"Straight","Man"
"237",1996,"Yes to some extent","No","Yes","Multiracial or Biracial","No","No","Student","University","Austria","French","0",27,"Queer","Woman"
"238",1981,"No","No","No","White or Caucasian","No","No","Senior Faculty","University","Spain","Spanish","6",42,"Straight","Man"
"239",1966,"No","No","No","White or Caucasian","Yes","No","Senior Faculty","University","Sweden","American","6",57,"Straight","Woman"
"240",1983,"No","No","No","White or Caucasian","No","N/A","Junior Faculty","University","Germany","German","8",40,"N/A","N/A"
"241",1986,"No","No","No","White or Caucasian","No","No","Post Doc","University","Germany","German","10",37,"Straight","Man"
"242",1989,"Yes to some extent","No","No","White or Caucasian","No","No","Post Doc","University","Switzerland","Swiss","4",34,"Straight","Man"
"243",1973,"No","No","No","White or Caucasian","No","No","Researcher","University","Germany","British","4",50,"N/A","Man"
"244",1985,"No","No","No","White or Caucasian","No","No","Senior Faculty","University","Norway","Norwegian","7",38,"Straight","Man"
"245",1974,"No","No","No","White or Caucasian","Yes","No","Senior Faculty","University","Switzerland","Swiss","6",49,"Straight","Man"
"246",1985,"Yes to some extent","No","No","White or Caucasian","Yes","No","Post Doc","University","United Kingdom","German","0",38,"Straight","Man"
"247",1980,"N/A","N/A",NA,"N/A","N/A","N/A","Researcher","University","Italy","Spanish","0",43,"N/A","N/A"
"248",1966,"No","No","No","White or Caucasian","Yes","No","Senior Faculty","University","Germany","German","4",57,"Straight","Woman"
"249",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Post Doc","University","Germany","German","2",NA,"N/A","N/A"
"250",1984,"No","No","No","White or Caucasian","Yes","No","Junior Faculty","University","Netherlands","British","0",39,"Straight","Man"
"251",1979,"No","No","Yes","Asian or Pacific Islander","No","No","Senior Faculty","University","United Kingdom","American","9",44,"Straight","Man"
"252",1975,"Yes to some extent","No","No","A race/ethnicity not listed here","No","No","Senior Faculty","University","United Kingdom","British","2",48,"Straight","Man"
"253",1992,"Yes to some extent","No","No","White or Caucasian","No","No","Student","University","Canada","Canadian","0",31,"N/A","Man"
"254",1973,"No","No","No","White or Caucasian","No","No","Senior Faculty","University","Italy","Italian","6",50,"Straight","Man"
"255",1985,"Yes to some extent","No","No","White or Caucasian","Yes","No","Junior Faculty","University","United Kingdom","British","1",38,"Straight","Man"
"256",1986,"No","No","No","Hispanic or Latinx","No","No","Researcher","Other","United States","Spanish","8",37,"Gay","Man"
"257",1993,"No","No","No","White or Caucasian","No","No","Post Doc","University","United Kingdom","Italian","1",30,"Straight","Man"
"258",1995,"No","No","No","White or Caucasian","Yes","No","Student","University","Belgium","Dutch","0",28,"Straight","Woman"
"259",1971,"No","No","No","White or Caucasian","No","No","Senior Faculty","University","Italy","American","5",52,"Straight","Man"
"260",1993,"No","No","No","White or Caucasian","No","No","Junior Faculty","University","United Kingdom","German","4",30,"Bisexual","Man"
"261",1979,"No","No","No","White or Caucasian","No","No","Senior Faculty","University","Denmark","Danish","5",44,"Straight","Woman"
"262",1995,"No","No","No","White or Caucasian","Yes","No","Junior Faculty","University","Austria","German","0",28,"Straight","Man"
"263",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Student","University","Germany","German","N/A",NA,"N/A","N/A"
"264",1986,"No","No","No","White or Caucasian","Yes","No","Junior Faculty","University","United Kingdom","British","2",37,"Straight","Man"
"265",1975,"No","No","No","White or Caucasian","Yes","No","Senior Faculty","University","United Kingdom","Greek","12",48,"Straight","Woman"
"266",1994,"No","No","No","White or Caucasian","No","No","Student","University","Italy","German","1",29,"Straight","Man"
"267",1996,"No","No","No","White or Caucasian","No","No","Researcher","University","Germany","German","0",27,"Straight","Man"
"268",1997,"No","No","No","White or Caucasian","No","No","Junior Faculty","University","Austria","Austrian","0",26,"Straight","Woman"
"269",1983,"No","No","No","White or Caucasian","No","No","Senior Faculty","University","Denmark","Italian","4",40,"Straight","Man"
"270",1990,"No","No","No","White or Caucasian","No","No","Junior Faculty","University","Norway","Norwegian","1",33,"Straight","Man"
"271",1986,"No","No","No","N/A","Yes","No","Senior Faculty","University","Germany","German","4",37,"N/A","Woman"
"272",1976,"N/A","N/A",NA,"N/A","N/A","N/A","Senior Faculty","University","United Kingdom","British","5",47,"N/A","N/A"
"273",1992,"Yes to some extent","No","No","White or Caucasian","No","No","Post Doc","University","Other","Italian","0",31,"Straight","Woman"
"274",1991,"No","No","No","White or Caucasian","No","No","Post Doc","University","Germany","Dutch","1",32,"Straight","Woman"
"275",1989,"No","No","No","White or Caucasian","No","No","Senior Faculty","University","United Kingdom","Austrian","5",34,"Straight","Man"
"276",1991,"No","No","No","A race/ethnicity not listed here","No","No","Post Doc","University","United Kingdom","Portuguese","3",32,"N/A","Man"
"277",1974,"No","No","No","White or Caucasian","No","No","Senior Faculty","University","Germany","German","4",49,"Straight","Woman"
"278",1992,"No","No","No","White or Caucasian","No","No","Post Doc","Research Institute","France","Italian","1",31,"N/A","N/A"
"279",1988,"Yes to some extent","No","No","White or Caucasian","Yes","No","Post Doc","University","Germany","German","1",35,"Straight","Man"
"280",1990,"No","No","No","White or Caucasian","Yes","No","Post Doc","University","Italy","Italian","2",33,"Straight","Man"
"281",1977,"No","No","No","White or Caucasian","No","No","Senior Faculty","University","Germany","Spanish","4",46,"Straight","Man"
"282",2005,"N/A","N/A","No","White or Caucasian","No","No","Senior Faculty","University","Switzerland","German","1",18,"Straight","Woman"
"283",1990,"Yes to some extent","No","No","Hispanic or Latinx","Yes","No","Post Doc","University","Spain","Spanish","1",33,"Straight","Man"
"284",1994,"No","No","Yes","Multiracial or Biracial","Yes","No","Student","University","Italy","Spanish","0",29,"Straight","Man"
"285",1986,"No","No","No","White or Caucasian","Yes","No","Junior Faculty","University","United Kingdom","American","4",37,"Straight","Man"
"286",1994,"No","No","Do not know","Hispanic or Latinx","N/A","No","Student","University","Ireland","Brazilian","0",29,"Straight","Woman"
"287",1992,"N/A","No","No","White or Caucasian","Yes","No","Junior Faculty","University","United Kingdom","Ireland","4",31,"Bisexual","Woman"
"288",1979,"No","No","Yes","Asian or Pacific Islander","Yes","No","Senior Faculty","University","United Kingdom","South Korean","9",44,"Straight","Woman"
"289",1986,"Yes to some extent","Yes","Yes","Black","Yes","No","Senior Faculty","University","United States","American","0",37,"Bisexual","Woman"
"290",1987,"No","No","No","Hispanic or Latinx","No","No","Junior Faculty","University","United Kingdom","Portuguese","3",36,"Straight","Man"
"291",1996,"No","No","No","White or Caucasian","No","No","Student","University","United Kingdom","Italian","0",27,"Gay","Man"
"292",1993,"No","No","No","White or Caucasian","No","No","Student","University","Germany","German","0",30,"Straight","Woman"
"293",1979,"No","No","No","White or Caucasian","No","No","Senior Faculty","University","Canada","Dutch","5",44,"Straight","Woman"
"294",1987,"No","No","No","White or Caucasian","No","No","Junior Faculty","University","Italy","Italian","4",36,"Straight","Woman"
"295",1991,"No","No","No","Hispanic or Latinx","Yes","No","Post Doc","University","United States","Spanish","4",32,"Straight","Woman"
"296",1979,"No","No","Yes","Asian or Pacific Islander","No","No","Senior Faculty","University","United Kingdom","Other","3",44,"Straight","Woman"
"297",1990,"No","No",NA,"N/A","Yes","N/A","Post Doc","University","Turkey","Turkish","0",33,"N/A","N/A"
"298",1978,"No","No","No","White or Caucasian","Yes","No","Senior Faculty","University","Denmark","Danish","3",45,"Straight","Man"
"299",1991,"Yes to some extent","No","No","White or Caucasian","Yes","No","Student","University","United States","German","0",32,"Straight","Man"
"300",1975,"No","No","No","Hispanic or Latinx","Yes","No","Senior Faculty","Research Institute","Spain","Spanish","7",48,"Bisexual","Woman"
"301",1989,"No","No","No","Multiracial or Biracial","No","No","Junior Faculty","University","France","French","1",34,"Straight","Man"
"302",1988,"Yes to some extent","Yes","Yes","Asian or Pacific Islander","No","No","Post Doc","University","United Kingdom","British","5",35,"Gay","Man"
"303",1972,"No","No","No","White or Caucasian","No","No","Senior Faculty","University","United States","American","3",51,"Straight","Man"
"304",1992,"No","No","No","White or Caucasian","No","No","Post Doc","University","Switzerland","French","3",31,"Straight","Woman"
"305",1983,"No","No","No","White or Caucasian","Yes","No","Senior Faculty","Research Institute","France","French","2",40,"Straight","Woman"
"306",1989,"No","No","No","White or Caucasian","No","No","Junior Faculty","University","OtherEU","Italian","2",34,"N/A","Woman"
"307",1972,"No","No","No","White or Caucasian","No","No","Senior Faculty","University","United States","American","0",51,"Straight","Man"
"308",NA,"No","No","No","White or Caucasian","Yes","No","N/A","University","Germany","German","0",NA,"Straight","Woman"
"309",1989,"No","No","No","White or Caucasian","No","No","Senior Faculty","University","Norway","Norwegian","2",34,"Straight","Man"
"310",1973,"No","No","No","White or Caucasian","Yes","No","Senior Faculty","University","Canada","Canadian","1",50,"N/A","Man"
"311",1986,"No","No","No","White or Caucasian","No","No","Senior Faculty","University","Denmark","German","7",37,"Bisexual","Man"
"312",1988,"No","No","No","White or Caucasian","No","No","Post Doc","University","Italy","Italian","2",35,"Straight","Woman"
"313",1994,"No","No","Yes","Asian or Pacific Islander","Yes","No","Student","University","United Kingdom","Chinese","6",29,"Straight","Woman"
"314",1984,"No","No","No","White or Caucasian","Yes","No","Junior Faculty","University","Netherlands","Belgian","0",39,"Straight","Woman"
"315",1972,"No","No","No","White or Caucasian","Yes","No","Senior Faculty","University","Germany","German","9",51,"Straight","N/A"
"316",1981,"No","No","No","White or Caucasian","No","No","Senior Faculty","University","United States","American","7",42,"Straight","Man"
"317",1981,"No","No","No","White or Caucasian","No","No","Senior Faculty","University","Netherlands","Austrian","7",42,"Straight","Woman"
"318",1985,"N/A","No","No","White or Caucasian","No","No","Senior Faculty","University","OtherEU","OtherEU","3",38,"N/A","Man"
"319",NA,"No","No","No","White or Caucasian","Yes","No","Senior Faculty","University","United Kingdom","German","9",NA,"Straight","Man"
"320",1984,"No","No","No","White or Caucasian","No","No","Junior Faculty","University","Germany","German","6",39,"Straight","Man"
"321",1962,"No","No","No","White or Caucasian","Yes","No","Senior Faculty","University","United States","Belgian","0",61,"Straight","Woman"
"322",1996,"No","No","No","White or Caucasian","No","No","Student","University","Norway","Norwegian","0",27,"Straight","Woman"
"323",1994,"No","No","No","White or Caucasian","Yes","No","Post Doc","University","Sweden","German","1",29,"Straight","Man"
"324",1986,"No","No","No","White or Caucasian","Yes","No","Researcher","Research Institute","Norway","Danish","0",37,"Straight","Man"
"325",1990,"No","No","Do not know","Hispanic or Latinx","No","No","Junior Faculty","University","United States","Brazilian","1",33,"Straight","Woman"
"326",1970,"No","No","No","White or Caucasian","No","No","Senior Faculty","University","United States","American","1",53,"N/A","Man"
"327",1980,"No","No","No","White or Caucasian","No","No","Junior Faculty","University","Turkey","Turkish","5",43,"Straight","Man"
"328",1976,"No","No","No","White or Caucasian","No","No","Senior Faculty","University","United States","American","2",47,"Gay","Man"
"329",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Researcher","University","Italy","Austrian","0",NA,"N/A","N/A"
"330",1993,"No","No","No","White or Caucasian","Yes","No","Post Doc","University","Switzerland","German","1",30,"Other","Woman"
"331",1971,"No","No","No","White or Caucasian","No","No","Senior Faculty","University","United States","American","0",52,"Straight","Woman"
"332",1985,"No","No","No","White or Caucasian","No","No","Senior Faculty","University","Spain","Spanish","5",38,"Straight","Man"
"333",1990,"No","No","No","White or Caucasian","No","No","Senior Faculty","University","Norway","Danish","1",33,"N/A","Man"
"334",1984,"No","No","No","White or Caucasian","No","No","Senior Faculty","University","United States","American","0",39,"Straight","Man"
"335",1980,"No","No","No","Hispanic or Latinx","No","No","Senior Faculty","University","Spain","Spanish","12",43,"Straight","Man"
"336",NA,"N/A","N/A",NA,"N/A","Yes","N/A","Senior Faculty","University","Switzerland","Swiss","5",NA,"N/A","N/A"
"337",1978,"No","Yes","No","White or Caucasian","Yes","No","Senior Faculty","University","Italy","Dutch","9",45,"Straight","Woman"
"338",1991,"Yes to some extent","No","No","White or Caucasian","Yes","No","Post Doc","University","Germany","German","0",32,"Straight","Woman"
"339",1986,"No","No","No","Hispanic or Latinx","No","No","Junior Faculty","University","Spain","Spanish","0",37,"Straight","Man"
"340",1973,"No","No","No","White or Caucasian","Yes","No","Senior Faculty","University","Germany","German","5",50,"Straight","Woman"
"341",1988,"No","No","No","White or Caucasian","No","No","Post Doc","University","Netherlands","OtherEU","4",35,"Straight","Woman"
"342",1995,"No","No","No","Hispanic or Latinx","No","No","Student","University","Switzerland","Spanish","1",28,"Straight","Man"
"343",1988,"No","No","No","White or Caucasian","Yes","No","Post Doc","University","Spain","Polish","2",35,"Straight","Woman"
"344",1995,"No","No","No","White or Caucasian","Yes","No","Student","University","Italy","Italian","0",28,"Straight","Woman"
"345",1994,"No","No","No","White or Caucasian","Yes","No","Post Doc","University","Netherlands","Portuguese","0",29,"Straight","Man"
"346",1996,"No","No","No","White or Caucasian","No","No","Student","University","Germany","German","0",27,"Bisexual","Man"
"347",1965,"No","No","No","White or Caucasian","Yes","No","Senior Faculty","University","United Kingdom","British","11",58,"Straight","Man"
"348",1988,"No","No","Yes","Asian or Pacific Islander","No","No","Junior Faculty","University","Germany","Other","0",35,"Straight","Woman"
"349",1995,"No","No","No","White or Caucasian","No","No","Researcher","University","Germany","German","0",28,"Straight","Woman"
"350",1996,"No","No","No","White or Caucasian","No","No","Student","University","Denmark","Spanish","1",27,"Straight","Woman"
"351",1995,"No","No","No","White or Caucasian","No","No","Student","University","Germany","German","1",28,"Straight","Woman"
"352",1995,"No","No","No","White or Caucasian","Yes","No","Researcher","University","Germany","German","0",28,"Bisexual","Woman"
"353",1985,"Yes to some extent","No","No","Hispanic or Latinx","No","No","Junior Faculty","Research Institute","Germany","German","4",38,"Straight","Man"
"354",1983,"Yes to some extent","No","No","White or Caucasian","No","No","Senior Faculty","University","United Kingdom","British","10",40,"Straight","Man"
"355",1983,"N/A","N/A",NA,"N/A","N/A","N/A","Junior Faculty","University","Norway","American","2",40,"N/A","N/A"
"356",1994,"Yes to some extent","No","No","White or Caucasian","No","No","Student","University","Germany","Italian","1",29,"Straight","Woman"
"357",1992,"No","No","No","White or Caucasian","Yes","No","Post Doc","University","Austria","German","3",31,"Straight","Man"
"358",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Student","University","Germany","German","N/A",NA,"N/A","N/A"
"359",1994,"No","No","No","White or Caucasian","No","No","Junior Faculty","Research Institute","Germany","German","1",29,"Straight","Woman"
"360",1984,"No","No","No","White or Caucasian","No","No","Senior Faculty","University","United Kingdom","OtherEU","6",39,"Straight","Woman"
"361",1984,"No","No","No","White or Caucasian","No","No","Junior Faculty","University","Ireland","American","12",39,"Gay","Man"
"362",1984,"No","No","No","White or Caucasian","No","No","Junior Faculty","University","Germany","American","5",39,"Straight","Woman"
"363",1985,"No","No","No","White or Caucasian","No","No","Junior Faculty","University","Spain","Spanish","10",38,"Straight","Man"
"364",1983,"No","No","No","White or Caucasian","No","No","Senior Faculty","University","United Kingdom","American","14",40,"Bisexual","Man"
"365",1995,"No","No","No","White or Caucasian","Yes","No","Student","University","Austria","Austrian","1",28,"Straight","Woman"
"366",NA,"No","No","Yes","A race/ethnicity not listed here","Yes","No","Student","University","Germany","German","0",NA,"Straight","Woman"
"367",NA,"No","No",NA,"N/A","No","N/A","Student","University","Switzerland","German","0",NA,"N/A","Other"
"368",1989,"No","No","No","White or Caucasian","No","No","Post Doc","University","Switzerland","British","0",34,"Straight","Man"
"369",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Student","University","Switzerland","Swiss","N/A",NA,"N/A","N/A"
"370",1978,"No","No","No","White or Caucasian","No","No","Senior Faculty","University","United Kingdom","N/A","1",45,"Straight","Woman"
"371",1988,"No","No","No","White or Caucasian","No","No","Junior Faculty","University","Spain","German","2",35,"Straight","Man"
"372",1985,"No","No","No","White or Caucasian","Yes","No","Junior Faculty","University","Germany","German","9",38,"Straight","Man"
"373",1990,"Yes to some extent","No","No","White or Caucasian","No","No","Post Doc","University","Germany","OtherEU","2",33,"Bisexual","Woman"
"374",1970,"Yes to some extent","No","No","White or Caucasian","No","No","Senior Faculty","University","Canada","Canadian","3",53,"Straight","Man"
"375",1994,"No","No","No","White or Caucasian","Yes","No","Post Doc","University","Germany","German","0",29,"Straight","Man"
"376",NA,"N/A","N/A",NA,"Do not know","Yes","N/A","Junior Faculty","University","Sweden","Danish","3",NA,"N/A","N/A"
"377",1988,"No","No","No","White or Caucasian","No","No","Junior Faculty","University","United States","Italian","0",35,"Straight","Man"
"378",1982,"No","No","No","White or Caucasian","No","No","Junior Faculty","University","United States","American","2",41,"Straight","Man"
"379",1977,"No","No","No","White or Caucasian","No","No","Senior Faculty","University","Germany","German","2",46,"Straight","Man"
"380",NA,"N/A","N/A",NA,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,"N/A","N/A"
"381",1944,"No","No","No","White or Caucasian","Yes","No","Senior Faculty","University","United States","American","1",79,"Straight","Man"
"382",1995,"No","No","No","White or Caucasian","No","No","Post Doc","University","Germany","German","0",28,"Straight","Woman"
"383",1981,"No","No","No","White or Caucasian","No","No","Junior Faculty","University","United Kingdom","German","10",42,"Straight","Man"
"384",1992,"No","No","No","White or Caucasian","No","No","Student","University","United States","Italian","0",31,"N/A","Woman"
"385",1995,"No","No","No","White or Caucasian","No","No","Researcher","Research Institute","Germany","German","1",28,"Straight","Woman"
"386",1996,"No","No","No","White or Caucasian","Yes","No","Researcher","University","Germany","German","0",27,"Straight","Woman"
"387",1986,"No","No","No","Do not know","No","No","Junior Faculty","University","Spain","Spanish","0",37,"Straight","Woman"
"388",1980,"No","No","No","White or Caucasian","No","No","Senior Faculty","University","United Kingdom","American","4",43,"Straight","Man"
"389",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Researcher","University","Austria","Other","0",NA,"N/A","N/A"
"390",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Senior Faculty","University","Norway","Norwegian","13",NA,"N/A","N/A"
"391",1989,"No","No","No","Hispanic or Latinx","No","No","Senior Faculty","University","United Kingdom","Brazilian","1",34,"Bisexual","Woman"
"392",1984,"No","No","Yes","Hispanic or Latinx","No","No","Junior Faculty","University","Other","Other","8",39,"Straight","Woman"
"393",1992,"Yes to some extent","Yes","No","White or Caucasian","No","No","Post Doc","University","Italy","American","2",31,"N/A","Man"
"394",1989,"Yes to some extent","No","No","White or Caucasian","Yes","No","Post Doc","University","Spain","Spanish","0",34,"Straight","Man"
"395",1994,"No","No","No","White or Caucasian","Yes","No","Post Doc","University","Sweden","Italian","1",29,"Straight","Man"
"396",1991,"No","No",NA,"White or Caucasian","Yes","No","Post Doc","Research Institute","Germany","German","0",32,"Straight","Man"
"397",1992,"No","No","No","White or Caucasian","No","No","Student","University","Switzerland","German","2",31,"N/A","Woman"
"398",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Senior Faculty","University","United States","American","13",NA,"N/A","N/A"
"399",1996,"No","No","No","White or Caucasian","No","No","Student","University","Italy","French","0",27,"Bisexual","Woman"
"400",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Student","University","Denmark","Danish","0",NA,"N/A","N/A"
"401",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Post Doc","University","Spain","Spanish","N/A",NA,"N/A","N/A"
"402",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Post Doc","University","Denmark","Italian","2",NA,"N/A","N/A"
"403",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Post Doc","University","Germany","German","2",NA,"N/A","N/A"
"404",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Senior Faculty","University","Switzerland","Swiss","8",NA,"N/A","N/A"
"405",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Post Doc","University","Switzerland","German","1",NA,"N/A","N/A"
"406",1991,"No","No","Yes","A race/ethnicity not listed here","No","No","Post Doc","University","Belgium","Pakistani","0",32,"Straight","Woman"
"407",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Student","University","United Kingdom","Greek","1",NA,"N/A","N/A"
"408",NA,"N/A","N/A",NA,"N/A","N/A","N/A","N/A","University","United Kingdom","British","4",NA,"N/A","N/A"
"409",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Student","University","United Kingdom","Other","0",NA,"N/A","N/A"
"410",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Post Doc","University","Switzerland","Italian","3",NA,"N/A","N/A"
"411",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Senior Faculty","University","Italy","Italian","N/A",NA,"N/A","N/A"
"412",NA,"N/A","N/A",NA,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,"N/A","N/A"
"413",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Senior Faculty","University","United States","American","N/A",NA,"N/A","N/A"
"414",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Senior Faculty","University","Germany","German","N/A",NA,"N/A","N/A"
"415",NA,"N/A","N/A",NA,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,"N/A","N/A"
"416",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Student","University","United States","N/A","0",NA,"N/A","N/A"
"417",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Senior Faculty","University","Other","Other","5",NA,"N/A","N/A"
"418",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Student","University","United Kingdom","OtherEU","N/A",NA,"N/A","N/A"
"419",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Student","University","Germany","N/A","1",NA,"N/A","N/A"
"420",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Student","University","Germany","German","N/A",NA,"N/A","N/A"
"421",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Junior Faculty","University","United States","German","N/A",NA,"N/A","N/A"
"422",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Student","University","Italy","Spanish","0",NA,"N/A","N/A"
"423",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Junior Faculty","Research Institute","Norway","Norwegian","N/A",NA,"N/A","N/A"
"424",1983,"No","No","Yes","Hispanic or Latinx","No","No","Junior Faculty","University","United States","Other","0",40,"N/A","Man"
"425",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Student","University","Austria","German","N/A",NA,"N/A","N/A"
"426",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Junior Faculty","University","Norway","Norwegian","0",NA,"N/A","N/A"
"427",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Student","University","Germany","German","0",NA,"N/A","N/A"
"428",1977,"Yes to some extent","N/A","No","White or Caucasian","No","No","Senior Faculty","University","Denmark","German","1",46,"Straight","Man"
"429",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Senior Faculty","University","Germany","German","5",NA,"N/A","N/A"
"430",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Student","University","United Kingdom","British","2",NA,"N/A","N/A"
"431",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Senior Faculty","University","United Kingdom","Greek","N/A",NA,"N/A","N/A"
"432",1988,"No","No","No","White or Caucasian","Yes","No","Junior Faculty","University","United Kingdom","Italian","6",35,"N/A","Woman"
"433",1965,"No","No","No","White or Caucasian","Yes","No","Senior Faculty","University","United States","British","0",58,"Straight","Man"
"434",1976,"No","No","No","White or Caucasian","Yes","No","Senior Faculty","University","United States","American","4",47,"Straight","Woman"
"435",1993,"No","No","No","White or Caucasian","No","No","Student","University","Turkey","Turkish","4",30,"Straight","Woman"
"436",1997,"No","No","Yes","Asian or Pacific Islander","No","No","Student","University","United States","Chinese","0",26,"Gay","Man"
"437",1985,"No","No","Yes","Black","No","No","Junior Faculty","University","United States","American","0",38,"Straight","Man"
"438",1996,"Yes a lot","No","No","White or Caucasian","No","No","Student","University","United States","American","0",27,"Straight","Woman"
"439",1970,"No","No","No","White or Caucasian","No","No","Senior Faculty","University","United States","American","2",53,"Straight","Woman"
"440",1995,"No","No","No","White or Caucasian","Yes","No","Student","University","Denmark","Danish","1",28,"Bisexual","Woman"
"441",1989,"No","No","No","Multiracial or Biracial","Yes","No","Student","University","Canada","French","2",34,"Bisexual","Woman"
"442",1971,"No","No","No","White or Caucasian","Yes","No","Senior Faculty","University","Austria","German","12",52,"Straight","Man"
"443",1994,"Yes to some extent","No","No","White or Caucasian","No","No","Junior Faculty","University","Norway","German","1",29,"Straight","Man"
"444",1989,"No","No","No","White or Caucasian","Yes","No","Researcher","Research Institute","Germany","German","0",34,"Straight","Man"
"445",NA,"No","No",NA,"N/A","No","No","Student","University","United Kingdom","N/A","0",NA,"Straight","Man"
"446",1998,"No","No","No","White or Caucasian","No","No","Student","University","Spain","Spanish","0",25,"Straight","Man"
"447",1988,"No","No","No","White or Caucasian","No","No","Post Doc","University","Italy","Italian","0",35,"Straight","Man"
"448",1994,"Yes a lot","Yes","Yes","Multiracial or Biracial","No","No","Researcher","University","Germany","American","1",29,"Lesbian","N/A"
"449",1978,"No","No","No","N/A","No","No","Senior Faculty","University","United Kingdom","N/A","4",45,"Straight","Man"
"450",1991,"Yes to some extent","No","No","White or Caucasian","Yes","No","Post Doc","University","Spain","Spanish","0",32,"Straight","Man"
"451",NA,"No","No",NA,"White or Caucasian","Yes","N/A","Senior Faculty","University","United Kingdom","British","4",NA,"Other","N/A"
"452",1995,"No","No","Do not know","A race/ethnicity not listed here","Yes","No","Student","University","Spain","OtherEU","1",28,"Bisexual","Man"
"453",NA,"Yes to some extent","No","No","White or Caucasian","No","No","Senior Faculty","University","N/A","N/A","4",NA,"Straight","Man"
"454",NA,"No","No","No","White or Caucasian","Yes","No","Senior Faculty","University","Netherlands","German","12",NA,"Straight","Woman"
"455",1994,"No","No","No","White or Caucasian","No","No","Junior Faculty","University","Spain","Spanish","1",29,"Straight","Man"
"456",NA,"N/A","N/A",NA,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,"N/A","N/A"
"457",1987,"No","No","No","White or Caucasian","No","No","Junior Faculty","University","United States","American","0",36,"Straight","Man"
"458",1986,"No","No","No","White or Caucasian","Yes","N/A","Junior Faculty","University","Germany","German","1",37,"N/A","N/A"
"459",1966,"Yes to some extent","No","No","White or Caucasian","No","No","Senior Faculty","University","United States","American","5",57,"Straight","Man"
"460",1995,"No","No","No","White or Caucasian","No","No","Student","University","United States","Swiss","0",28,"Gay","Man"
"461",1984,"No","No","No","White or Caucasian","No","No","Senior Faculty","University","United States","American","1",39,"Straight","Woman"
"462",1975,"No","No","No","White or Caucasian","Yes","No","Senior Faculty","University","United States","American","7",48,"Straight","Man"
"463",NA,"Yes to some extent","Do not know",NA,"N/A","No","No","Student","University","Austria","Albanian","0",NA,"N/A","Woman"
"464",1991,"No","No","No","White or Caucasian","Yes","No","Student","University","Switzerland","Dutch","2",32,"Straight","Man"
"465",1988,"No","No","No","White or Caucasian","No","No","Post Doc","University","Austria","German","4",35,"Queer","Woman"
"466",1993,"Yes to some extent","No","No","Hispanic or Latinx","Yes","N/A","Researcher","University","Italy","Spanish","2",30,"N/A","N/A"
"467",1980,"No","No","No","White or Caucasian","Yes","No","Junior Faculty","University","Switzerland","Swiss","11",43,"Straight","Woman"
"468",1989,"Yes to some extent","No","No","White or Caucasian","Yes","No","Post Doc","University","Italy","Italian","3",34,"Straight","Woman"
"469",1977,"No","No","No","White or Caucasian","No","No","Senior Faculty","Research Institute","Germany","American","7",46,"Straight","Woman"
"470",1991,"No","No","No","White or Caucasian","Yes","No","Post Doc","University","Switzerland","German","1",32,"Straight","Woman"
"471",1990,"No","No","No","White or Caucasian","Yes","No","Student","University","Switzerland","German","0",33,"Straight","Man"
